"abstract","snippet","lead_paragraph","source","pub_date","document_type","section_name","type_of_material","_id","subsection_name","headline.main","headline.kicker","headline.content_kicker","headline.print_headline","headline.name","headline.seo","headline.sub"
"Athill reports on her life at 98 with a still vibrant spirit.","Athill reports on her life at 98 with a still vibrant spirit.","The title of Diana Athill’s 2009 memoir, “Somewhere Towards the End,” published when she was 91, acknowledged in her no-fuss, charming way that her final hours were drawing nigh. “Somewhere” was presumably a last glance backward at her romances with married men in her frequent role as “the Other Woman,” coupled with observations about caretaking her mother in her final days and insights on a variety of topics, from faith to fashion, from the perspective of “advanced old age.” Athill, a longtime London book editor, concluded her elegant narrative by musing on possibilities for her deathbed quotation, admitting, “Foolish though it may be, I have to confess that I still hope the occasion on which I have to say it does not come very soon.”","The New York Times","2016-02-12T18:07:53+0000","article","Books","Review","nyt://article/99142724-aec5-5a88-b2d7-fbdc6a8859c8","Book Review","‘Alive, Alive Oh!’ by Diana Athill",NA,NA,"The Country of Old Age",NA,NA,NA
"An psychologist offers tips on how to smooth an elderly parent’s move to a new home.","An psychologist offers tips on how to smooth an elderly parent’s move to a new home.","A middle-aged son and his mother — she in her late 80s, eager for life but tired of driving and cooking and feeling isolated — find a sun-drenched studio unit in a beautiful, service-laden independent- and assisted-living facility. They’re both thrilled and relieved, until a couple of weeks before move-in day, at which point the mother suddenly balks.","The New York Times","2011-01-19T20:42:19+0000","article","Health",NA,"nyt://article/84a3d87c-33d8-5616-9431-593aa87ccfee",NA,"More on Moving","The New Old Age",NA,NA,NA,NA,NA
"Dual-generation retirements are becoming more common because of longer life spans and children’s wrapping up their careers early.","Dual-generation retirements are becoming more common because of longer life spans and children’s wrapping up their careers early.","Almost every morning, Lauri McBride, 62, a retired middle-school science teacher, spends a half-hour chatting with her father, William Fink, 88, while he eats breakfast. Most evenings, Ms. McBride returns for another 30 minutes as her father sips a martini.","The New York Times","2015-03-11T21:02:19+0000","article","Business Day","News","nyt://article/1f7243d3-4e96-5751-acce-b9a5d7406994","Retirement","Two Generations, Retired and Together ",NA,NA,"Two Generations, Retired and Together",NA,NA,NA
"Medical case, charity case, book case.","Medical case, charity case, book case.","My on-again, off-again boyfriend of three years was on-again at the time he suffered a major illness. Before its onset, I was questioning our long-term potential and decided we were not meant to be. I do not have the caretaking responsibilities (his family assumed that role), and we live on oppositecoasts. I intend to see him through this illness from afar, plus occasional visits. My question: With a recovery time of four to six months, how and when can I let him go, ethically, for both our sakes? CAROLINE, FLORIDA","The New York Times","2012-06-15T14:31:45+0000","article","Magazine","Question","nyt://article/ff7d420d-16ee-52fe-8458-a00323336aab",NA,"Till Health Do Us Part","The Ethicist",NA,"Till Health Do Us Part",NA,NA,NA
"This week Camille comes to two alarming conclusions.","This week Camille comes to two alarming conclusions.","Most episodes of “Sharp Objects” open with Camille awakening from a dream. These feverish montages serve multiple purposes: They mark the beginning of a new day; they conjure a surreal atmosphere that seeps into the characters’ waking lives; and many of them provide a brief, impressionistic recap of the previous episode’s most haunting moments.","The New York Times","2018-08-20T02:01:01+0000","article","Arts","News","nyt://article/dbf9d28b-d1a4-5c5e-b04d-f3e380d63fb4","Television","‘Sharp Objects’ Episode 7: Welcome to the Dollhouse","Sharp Objects",NA,NA,NA,NA,NA
"Onefinestay, a short-term rental company, is offering townhouse owners caretaker service at no charge in exchange for a rental listing of at least six weeks annually.","Onefinestay, a short-term rental company, is offering townhouse owners caretaker service at no charge in exchange for a rental listing of at least six weeks annually.","Few things are more coveted in New York City real estate than a single-family townhouse, be it a historic Brooklyn brownstone or a stately limestone on the Upper East Side. But even those who can afford to own one may sometimes wish they could dial up a doorman or a super to handle the hassles. ","The New York Times","2015-10-09T17:40:57+0000","article","Real Estate","News","nyt://article/a6cf06a0-910a-5ca5-a90e-4d5fd7a8152d",NA,"Onefinestay, In Exchange for T.L.C.",NA,NA,"In Exchange for T.L.C. ",NA,NA,NA
"After six decades of marriage and his wife’s decline, the author of a poignant essay killed himself and her, too.","After six decades of marriage and his wife’s decline, the author of a poignant essay killed himself and her, too.","His was a love story, Charles D. Snelling wrote — a tale of a shiftless dreamer and the woman who saved him, of the life they built over six decades and the disease that stood no chance of erasing it. By the end, he said, their time together had become a case study in reciprocity.","The New York Times","2012-03-31T00:02:11+0000","article","U.S.","News","nyt://article/22c46592-4282-5c20-959e-bbee79aa3845",NA,"Tale of Love and Illness Ends in Deaths",NA,NA,"Tale of Love and Illness Ends in Deaths",NA,NA,NA
"For two weeks, a family in Park Slope, Brooklyn, has been caring for a black swallowtail butterfly that made its way into their home by hiding in their Christmas tree.","For two weeks, a family in Park Slope, Brooklyn, has been caring for a black swallowtail butterfly that made its way into their home by hiding in their Christmas tree.","When Skye Rothstein gazes out her window, she is reminded of winter’s chill and the long, dark nights.","The New York Times","2015-02-07T03:11:33+0000","article","New York","News","nyt://article/c82334e6-adba-55e0-b19e-fe846d47032b",NA,"An Uninvited Guest, Treated Like a Monarch, Makes Itself at Home",NA,NA,"An Uninvited Guest, Treated Like a Monarch, Makes Itself at Home",NA,NA,NA
"Self-reflective writing can help you remember things and process your emotions. Have you ever wanted to try it?","Self-reflective writing can help you remember things and process your emotions. Have you ever wanted to try it?","Do you have a journal or diary? If so, what do you like to write about in it and why? Do you use it to keep track of joyful, difficult or memorable events in your life? Do you use it to process feelings? Give gratitude? Practice self-care? Do something else?","The New York Times","2022-03-11T10:00:03+0000","article","The Learning Network","News","nyt://article/4447a68b-3915-5c3d-9718-b1bf5381054e",NA,"Do You Keep a Journal?","student opinion",NA,NA,NA,NA,NA
"A cemetery found on a construction site is believed to contain remains of African-Americans forced to work on plantations through the so-called convict lease system.","A cemetery found on a construction site is believed to contain remains of African-Americans forced to work on plantations through the so-called convict lease system.","The remains of dozens of people found at a construction site in Texas this year are most likely those of African-Americans who were forced to work on a plantation there around the turn of the 20th century, officials said this week.","The New York Times","2018-07-18T09:00:02+0000","article","U.S.","News","nyt://article/ead82d40-59a4-5170-868c-64e0f29c9cbd",NA,"Remains of Black People Forced Into Labor After Slavery Are Discovered in Texas",NA,NA,"Black Prisoners’ Remains Tell a Part of Texas’ History",NA,NA,NA
